Price,Close,High,Low,Open,Volume
Date,,,,,
1998-07-14,3371.5,3371.5,3310.949951171880,3335.1298828125,0
1998-07-15,3365.719970703130,3419.360107421880,3348.659912109380,3404.8701171875,0
1998-07-16,3488.77001953125,3489.199951171880,3356.610107421880,3383.72998046875,0
1998-07-17,3470.800048828130,3525.89990234375,3455.35009765625,3505.52001953125,0
1998-07-20,3384.75,3472.0,3376.47998046875,3471.449951171880,0
1998-07-21,3353.300048828130,3417.10009765625,3329.840087890630,3385.25,0
1998-07-22,3344.330078125,3372.75,3341.590087890630,3358.080078125,0
1998-07-23,3227.52001953125,3336.840087890630,3214.39990234375,3329.780029296880,0
1998-07-24,3171.300048828130,3231.5,3157.300048828130,3200.659912109380,0
1998-07-27,3085.169921875,3213.1201171875,3079.429931640630,3172.669921875,0
1998-07-28,3166.840087890630,3173.919921875,3090.22998046875,3096.06005859375,0
1998-07-29,3219.929931640630,3242.280029296880,3163.739990234380,3169.8798828125,0
1998-07-30,3212.10009765625,3276.2900390625,3190.5400390625,3247.22998046875,0
1998-07-31,3211.31005859375,3234.5400390625,3184.10009765625,3231.22998046875,0
1998-08-03,3112.949951171880,3159.02001953125,3108.030029296880,3159.02001953125,0
1998-08-04,3119.5400390625,3144.06005859375,3107.0400390625,3107.0400390625,0
1998-08-05,3133.419921875,3138.389892578130,3062.050048828130,3069.919921875,0
1998-08-06,3096.330078125,3163.280029296880,3091.570068359380,3131.5400390625,0
1998-08-07,3062.25,3104.8701171875,3062.25,3094.169921875,0
1998-08-10,3020.7099609375,3056.219970703130,3017.330078125,3056.219970703130,0
1998-08-11,2970.639892578130,3008.919921875,2965.580078125,3002.820068359380,0
1998-08-12,2950.800048828130,2989.919921875,2924.239990234380,2934.739990234380,0
1998-08-13,2990.219970703130,3016.110107421880,2931.760009765630,2944.639892578130,0
1998-08-14,2968.75,3005.43994140625,2960.239990234380,2993.679931640630,0
1998-08-17,2917.070068359380,3002.169921875,2917.070068359380,2983.39990234375,0
1998-08-18,2867.989990234380,2915.840087890630,2853.719970703130,2914.919921875,0
1998-08-19,2884.590087890630,2919.510009765630,2838.989990234380,2885.760009765630,0
1998-08-20,2989.60009765625,2991.60009765625,2885.169921875,2911.85009765625,0
1998-08-21,2922.610107421880,2988.72998046875,2919.449951171880,2954.31005859375,0
1998-08-24,2950.43994140625,2958.449951171880,2899.669921875,2928.080078125,0
1998-08-25,2993.360107421880,2996.719970703130,2958.780029296880,2958.780029296880,0
1998-08-27,2974.830078125,3040.47998046875,2974.830078125,3006.64990234375,0
1998-08-28,2908.10009765625,2962.3798828125,2899.159912109380,2937.1201171875,0
